reference_id,clause_type,risk_level,policy_text,handling_guidelines
POL-IND-2026-01,Indemnification,HIGH,"Tata Group entities must not accept uncapped indemnification obligations. Mutual indemnification for direct damages is required.","Escalate to Senior Counsel if counterparty demands unilateral or uncapped indemnity."
POL-LIA-2026-02,Limitation of Liability,HIGH,"Liability must be strictly capped at 100% of the contract value or fees paid in the preceding 12 months. Exclusion of indirect or consequential damages is mandatory.","Reject any clause exposing Tata to unlimited liability."
POL-JUR-2026-03,Governing Law & Jurisdiction,MEDIUM,"Preferred jurisdiction is Mumbai, India under Indian Law. Alternately, laws of England & Wales or Singapore are acceptable for international agreements.","Flag for secondary review if jurisdiction is outside approved regions."
POL-CON-2026-04,Confidentiality,MEDIUM,"Standard NDA obligations apply. Confidentiality period should not exceed 3 years post-termination unless trade secrets are explicitly involved.","Ensure survivability clauses align with the 3-year standard limit."
POL-TRM-2026-05,Termination,HIGH,"Tata Group must retain the right to terminate for convenience with a maximum 30-day notice period. Counterparties cannot lock in multi-year terms without exit clauses.","Escalate if counterparty attempts to remove termination for convenience."
POL-WAR-2026-06,Warranty,MEDIUM,"No implied warranties of merchantability or fitness for a particular purpose should be accepted without explicit legal sign-off.","Flag any open-ended or 'as-is' warranty disclaimers from counterparties."
POL-PAY-2026-07,Payment Terms,LOW,"Standard payment terms are Net 45 or Net 60 days from valid invoice receipt. Late payment penalties must be capped at 1% per month.","Auto-approve if terms are Net 45 or greater."
POL-EXC-2026-08,Exclusivity,HIGH,"Tata Group does not agree to exclusive vendor or supplier lock-in arrangements without C-suite approval.","Flag immediately. Exclusivity clauses require Executive VP sign-off."
POL-DAT-2026-09,Data Privacy & Security,HIGH,"All contracts involving PII must comply with the DPDP Act (India) and GDPR. Vendors must hold ISO 27001 certification.","Escalate if data processing clauses lack mandatory breach notification timelines (under 72 hours)."
POL-IP-2026-10,Intellectual Property,HIGH,"All custom deliverables, software, source code, and IP created during the engagement must vest exclusively with Tata Group as a work made for hire. Open-source contamination must be strictly restricted.","Escalate to Legal IP Counsel if counterparty claims ownership over custom-built deliverables."
POL-SUB-2026-11,Subcontracting,MEDIUM,"Vendors are prohibited from subcontracting any part of their core obligations without prior written consent and clearance from authorized Tata leadership.","Flag for review if general, un-restricted subcontracting permissions are requested."
POL-ETH-2026-12,Anti-Bribery & Corruption (ABAC),HIGH,"Zero tolerance for bribery, kickbacks, facilitation payments, or violations of anti-corruption legislation (e.g., FCPA, Prevention of Corruption Act).","Immediate escalation to Compliance Lead if ABAC warranties are missing, modified, or rejected."
POL-AUD-2026-13,Audit Rights,MEDIUM,"Tata Group and its designated third-party auditors must have unconditional rights to inspect vendor financial records, security controls, and operational facilities with reasonable notice.","Reject any attempt by vendors to restrict, limit, or charge fees for routine compliance audits."
POL-FM-2026-14,Force Majeure,LOW,"Force majeure events must be strictly defined (natural disasters, war, pandemics) with mandatory written notice within 48 hours and active mitigation duties.","Auto-approve if standard force majeure conditions and notice windows are met."
POL-INS-2026-15,Insurance Coverage,MEDIUM,"Vendors must maintain specified minimum monetary thresholds of Professional Liability, Cyber Liability, and Commercial General Insurance throughout the term.","Flag if required insurance certificates, cyber liability coverage, or minimum thresholds are omitted."
POL-SOL-2026-16,Non-Solicitation,LOW,"Both parties are restricted from directly or indirectly hiring each other's employees during the contract term and for 1 year post-termination.","Auto-approve if standard 1-year non-solicitation window is respected."
POL-TRN-2026-17,Exit Management & Transition,HIGH,"Upon contract expiration or termination, vendors must provide seamless data handover, knowledge transfer, and operational transition support for up to 90 days.","Escalate if vendor attempts to waive transition support or charges exorbitant exit fees."
